                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8023,                 4.7025,                  4.206,                0.00124,                0.09179,                0.00118,                0.00039,                 4.2046,                 4.3526,                 4.1307,                 0.0901,                 0.0011,                 0.0011
                      1,                 3.8676,                 4.5961,                 4.1708,                0.00125,                0.08937,                0.00121,                0.00042,                 4.1936,                 4.3668,                 4.0853,               0.079277,              0.0022772,              0.0022772
                      2,                 3.8476,                 4.5061,                 4.1209,                0.00133,                0.08937,                 0.0019,                0.00062,                 4.1833,                 4.3246,                 4.0496,               0.068431,              0.0034307,              0.0034307
                      3,                 3.9582,                 4.4333,                 4.0764,                0.00046,                 0.1087,                0.00161,                0.00049,                 4.1632,                 4.2766,                 4.0032,                0.05756,              0.0045604,              0.0045604
                      4,                 3.9813,                 4.3068,                 4.0171,                0.00035,                0.10145,                0.00036,                0.00013,                 4.1366,                 4.2756,                 3.9536,               0.046666,              0.0056664,              0.0056664
                      5,                 3.9204,                 4.2795,                 3.9444,                0.00025,                0.07488,                0.00022,                  7e-05,                  4.094,                 4.2694,                 3.8961,               0.035749,              0.0067485,              0.0067485
                      6,                 3.8851,                  4.149,                 3.8659,                0.00027,                0.07971,                0.00033,                  9e-05,                 4.0515,                 4.2549,                 3.8333,               0.024807,               0.007807,               0.007807
                      7,                 3.9279,                 4.0784,                 3.7617,                0.00029,                0.08454,                0.00103,                0.00017,                  3.985,                  4.218,                  3.728,               0.013842,              0.0088416,              0.0088416
                      8,                 3.8126,                 4.0259,                 3.6528,                0.00037,                 0.1087,                0.00332,                0.00043,                 3.8521,                 4.2124,                 3.5171,               0.009208,               0.009208,               0.009208
                      9,                 3.8264,                 3.9623,                 3.5625,                0.00049,                0.11147,                0.00076,                 0.0002,                 3.8953,                 4.5132,                 3.4801,               0.009208,               0.009208,               0.009208
                     10,                  3.726,                 3.8035,                 3.4194,                0.00023,                0.01667,                0.00013,                  2e-05,                 3.9209,                 23.472,                 3.4968,               0.009109,               0.009109,               0.009109
                     11,                 3.7938,                 3.6487,                 3.4056,                0.56346,                0.00725,                0.00675,                0.00111,                  4.187,                 4.3783,                 4.1837,                0.00901,                0.00901,                0.00901
                     12,                 3.7212,                  3.484,                 3.3119,                0.01989,                0.01522,                0.01302,                0.00499,                 3.9027,                    inf,                 3.4218,               0.008911,               0.008911,               0.008911
                     13,                 3.6144,                 3.4331,                 3.2584,                0.79067,                0.01712,                 0.0087,                 0.0023,                  3.828,                 20.131,                 3.3572,               0.008812,               0.008812,               0.008812
                     14,                 3.6885,                  3.432,                 3.2399,                0.34806,                0.00966,                0.00297,                0.00096,                 3.8386,                 41.977,                 3.3468,               0.008713,               0.008713,               0.008713
                     15,                 3.6337,                 3.3396,                 3.2585,                0.78525,                0.03382,                0.00515,                0.00217,                 3.6717,                 10.646,                 3.3056,               0.008614,               0.008614,               0.008614
                     16,                 3.5436,                  3.351,                 3.2118,                0.33972,                0.00483,                0.00129,                0.00039,                 3.7889,                    inf,                 3.3333,               0.008515,               0.008515,               0.008515
                     17,                 3.5415,                 3.1761,                 3.1527,                0.00049,                0.06039,                0.00038,                0.00015,                 3.9129,                 6.6102,                 3.4648,               0.008416,               0.008416,               0.008416
                     18,                 3.4723,                 3.1564,                  3.111,                0.55758,                0.01449,                0.00135,                 0.0004,                 3.7683,                  15.08,                 3.3627,               0.008317,               0.008317,               0.008317
                     19,                 3.4411,                 3.1071,                 3.1171,                0.00438,                 0.0314,                0.00287,                0.00049,                 3.7526,                    inf,                 3.3433,               0.008218,               0.008218,               0.008218
                     20,                 3.3617,                 3.1263,                 3.0369,                0.00298,                0.04831,                0.00239,                0.00063,                 3.8296,                    inf,                 3.9907,               0.008119,               0.008119,               0.008119
                     21,                 3.3784,                 3.1135,                 3.0628,                0.47405,                0.15217,                0.08608,                0.02862,                 3.3485,                 32.526,                 3.2337,                0.00802,                0.00802,                0.00802
                     22,                 3.2236,                 2.9697,                 2.9667,                 0.2431,                0.07838,                0.02681,                0.00796,                 3.8155,                 44.833,                 4.0724,               0.007921,               0.007921,               0.007921
                     23,                 3.1709,                 2.8758,                 2.8879,                0.61203,                0.11547,                0.10692,                0.02784,                 3.1175,                 16.016,                 3.0802,               0.007822,               0.007822,               0.007822
                     24,                 3.1374,                 2.8854,                 2.8815,                0.72441,                0.09952,                0.07245,                0.02098,                  3.268,                 8.8154,                 3.1869,               0.007723,               0.007723,               0.007723
                     25,                 3.0845,                 2.8331,                 2.8304,                 0.7596,                0.11063,                0.10156,                0.03518,                 3.0137,                 3.0524,                  2.827,               0.007624,               0.007624,               0.007624
                     26,                 3.0579,                  2.746,                 2.7839,                0.53809,                0.14988,                0.10186,                0.03523,                 2.9655,                   3.32,                 2.7879,               0.007525,               0.007525,               0.007525
                     27,                 2.9572,                 2.7456,                 2.7143,                0.46257,                0.23518,                0.16503,                0.04948,                 2.9706,                 4.2847,                 2.8438,               0.007426,               0.007426,               0.007426
                     28,                 2.9194,                 2.7079,                 2.7154,                0.72607,                0.16196,                 0.1878,                0.05812,                 2.8875,                 3.4015,                 2.7359,               0.007327,               0.007327,               0.007327
                     29,                 2.9192,                 2.6582,                 2.6668,                0.61404,                 0.2035,                 0.1601,                0.04813,                 2.8417,                  2.867,                 2.7227,               0.007228,               0.007228,               0.007228
                     30,                 2.8212,                 2.6295,                 2.5977,                0.36802,                0.24903,                0.17211,                0.05731,                 2.7923,                 2.7178,                 2.6059,               0.007129,               0.007129,               0.007129
                     31,                 2.7745,                 2.5731,                 2.5367,                0.54408,                0.22819,                0.21085,                0.06508,                  2.774,                 2.4675,                 2.5898,                0.00703,                0.00703,                0.00703
                     32,                 2.7689,                 2.5665,                 2.5636,                0.39625,                0.34627,                0.26794,                0.09233,                 2.6911,                 2.3533,                 2.4763,               0.006931,               0.006931,               0.006931
                     33,                 2.7141,                 2.4475,                 2.5034,                0.32568,                0.27258,                0.21991,                0.07968,                 2.7736,                 2.4134,                 2.5193,               0.006832,               0.006832,               0.006832
                     34,                 2.7141,                 2.4082,                 2.4574,                0.36949,                0.30362,                0.25227,                0.09118,                 2.7871,                 2.3924,                 2.5039,               0.006733,               0.006733,               0.006733
                     35,                 2.6744,                 2.3854,                 2.4545,                0.35493,                0.36739,                0.26909,                0.08285,                 2.8424,                 2.2639,                  2.586,               0.006634,               0.006634,               0.006634
                     36,                 2.6976,                 2.4506,                 2.5183,                0.52514,                0.31017,                0.31682,                0.11653,                 2.6911,                 2.2156,                 2.4622,               0.006535,               0.006535,               0.006535
                     37,                 2.5619,                 2.3168,                 2.3829,                0.51333,                0.32676,                0.33912,                0.10742,                 2.6531,                 2.2116,                 2.4215,               0.006436,               0.006436,               0.006436
                     38,                 2.6027,                  2.357,                 2.4057,                0.56496,                0.34237,                0.37402,                0.12994,                 2.5903,                 2.1685,                 2.3591,               0.006337,               0.006337,               0.006337
                     39,                 2.5774,                 2.2658,                 2.3719,                0.15371,                0.35845,                0.13597,                0.03887,                 2.7478,                 2.8521,                 2.5838,               0.006238,               0.006238,               0.006238
                     40,                  2.549,                 2.3291,                 2.3864,                0.46248,                0.35479,                0.38633,                0.13541,                 2.5232,                 2.1915,                 2.2683,               0.006139,               0.006139,               0.006139
                     41,                 2.5666,                 2.2817,                  2.362,                0.51531,                0.37238,                0.40275,                0.14886,                 2.3968,                 2.1282,                 2.2237,                0.00604,                0.00604,                0.00604
                     42,                 2.5238,                 2.1625,                 2.3176,                0.44861,                0.41885,                0.41129,                0.15414,                 2.3568,                 2.1176,                 2.2237,               0.005941,               0.005941,               0.005941
                     43,                 2.5223,                 2.1431,                 2.3187,                0.12471,                 0.2779,                0.09874,                0.03149,                 2.9872,                 3.1513,                 2.6426,               0.005842,               0.005842,               0.005842
                     44,                 2.4384,                 2.1851,                 2.3167,                0.42228,                0.35873,                0.37987,                 0.1446,                 2.4387,                 2.2334,                  2.282,               0.005743,               0.005743,               0.005743
                     45,                 2.4696,                 2.1263,                 2.2756,                0.50152,                0.50798,                0.44957,                0.17207,                 2.3444,                 1.8896,                 2.2163,               0.005644,               0.005644,               0.005644
                     46,                 2.4671,                 2.1372,                  2.262,                0.11567,                0.17937,                0.07934,                0.01978,                 3.1744,                 3.2741,                 2.9197,               0.005545,               0.005545,               0.005545
                     47,                 2.3842,                 2.0662,                 2.2546,                0.50123,                0.50628,                0.48634,                0.19027,                 2.2516,                 1.8027,                 2.1663,               0.005446,               0.005446,               0.005446
                     48,                 2.3871,                 2.0365,                 2.2243,                0.49915,                0.37686,                0.40938,                0.14554,                  2.395,                 2.1828,                 2.2766,               0.005347,               0.005347,               0.005347
                     49,                 2.4545,                 2.0482,                 2.3018,                0.56661,                0.53909,                0.55989,                0.23477,                 2.1599,                 1.7548,                 2.0722,               0.005248,               0.005248,               0.005248
                     50,                 2.3728,                 1.9614,                 2.1665,                0.59256,                0.55357,                0.58243,                0.23868,                 2.1837,                 1.7206,                 2.0747,               0.005149,               0.005149,               0.005149
                     51,                 2.3598,                 2.0148,                 2.2087,                0.49041,                 0.3171,                0.39665,                0.14631,                 2.3722,                 2.1877,                 2.2403,                0.00505,                0.00505,                0.00505
                     52,                  2.338,                 1.9573,                  2.193,                0.51006,                0.60699,                0.59043,                0.24775,                 2.1496,                 1.7316,                 2.0359,               0.004951,               0.004951,               0.004951
                     53,                 2.2847,                 1.9047,                 2.1388,                0.63021,                0.57053,                0.58814,                0.23606,                 2.2266,                 1.6408,                 2.0985,               0.004852,               0.004852,               0.004852
                     54,                 2.2821,                 1.9036,                 2.1685,                  0.538,                0.60694,                0.56667,                0.22237,                 2.2272,                 1.6816,                 2.0842,               0.004753,               0.004753,               0.004753
                     55,                 2.3191,                 1.9807,                 2.2358,                0.61907,                0.55977,                0.59365,                0.23999,                 2.1275,                 1.6362,                 2.0371,               0.004654,               0.004654,               0.004654
                     56,                 2.2559,                 1.8775,                 2.1182,                0.51632,                0.58217,                0.56938,                0.22607,                 2.1568,                 1.8097,                 2.0378,               0.004555,               0.004555,               0.004555
                     57,                 2.2658,                 1.8992,                 2.1828,                0.63057,                0.61947,                0.67126,                0.28392,                 2.0609,                 1.5231,                 1.9607,               0.004456,               0.004456,               0.004456
                     58,                 2.2447,                 1.8448,                 2.1262,                0.53041,                 0.6165,                0.61563,                0.27256,                 2.0462,                 1.6688,                 1.9473,               0.004357,               0.004357,               0.004357
                     59,                 2.2547,                 1.8601,                 2.1194,                 0.6108,                0.62701,                0.64025,                0.25467,                 2.1324,                 1.6285,                 1.9937,               0.004258,               0.004258,               0.004258
                     60,                 2.2122,                 1.7915,                 2.0886,                0.68286,                0.61461,                0.68386,                 0.3031,                 1.9861,                 1.5031,                 1.9113,               0.004159,               0.004159,               0.004159
                     61,                 2.1283,                 1.7279,                 2.0064,                0.67237,                0.61707,                0.66052,                0.29336,                 2.0511,                 1.5152,                 1.9623,                0.00406,                0.00406,                0.00406
                     62,                 2.2054,                 1.7613,                 2.0571,                0.62739,                0.63844,                0.67019,                0.29294,                 2.0313,                 1.6448,                 1.9751,               0.003961,               0.003961,               0.003961
                     63,                 2.1894,                 1.7902,                 2.0577,                0.59172,                0.55728,                0.59119,                 0.2415,                 2.1591,                 1.7929,                 2.0947,               0.003862,               0.003862,               0.003862
                     64,                 2.1503,                 1.7448,                 2.0432,                0.53836,                0.60792,                0.63138,                0.26721,                 2.0437,                 1.6967,                 1.9798,               0.003763,               0.003763,               0.003763
                     65,                 2.0932,                 1.6977,                 2.0179,                0.63543,                0.58516,                0.58241,                0.22461,                 2.2858,                 1.5552,                  2.069,               0.003664,               0.003664,               0.003664
                     66,                 2.0556,                 1.6582,                 1.9823,                0.69325,                0.70129,                0.74346,                0.35467,                 1.9046,                  1.388,                 1.8682,               0.003565,               0.003565,               0.003565
                     67,                 2.1035,                 1.6877,                 1.9981,                0.70976,                 0.6717,                0.74086,                0.35128,                 1.8704,                 1.3459,                 1.8282,               0.003466,               0.003466,               0.003466
                     68,                 2.0934,                 1.6477,                 1.9799,                0.73655,                 0.6998,                0.75549,                0.33802,                 1.9316,                 1.3387,                 1.8773,               0.003367,               0.003367,               0.003367
                     69,                 2.1073,                 1.6445,                 1.9862,                0.71903,                0.68809,                0.76067,                0.33363,                 1.9351,                 1.4041,                 1.8864,               0.003268,               0.003268,               0.003268
                     70,                 2.0386,                 1.6334,                 1.9858,                0.71411,                0.69182,                0.76222,                0.35989,                 1.8753,                 1.3543,                 1.8354,               0.003169,               0.003169,               0.003169
                     71,                 2.0728,                 1.6244,                 1.9738,                0.67056,                0.72331,                0.74592,                0.35286,                 1.9088,                 1.3635,                  1.863,                0.00307,                0.00307,                0.00307
                     72,                 2.0054,                 1.5738,                 1.9507,                0.71057,                0.71736,                0.78207,                0.37062,                 1.8724,                 1.2667,                 1.8171,               0.002971,               0.002971,               0.002971
                     73,                 2.0139,                  1.623,                 1.9224,                0.68424,                0.73625,                0.75462,                0.35031,                 1.8968,                 1.3379,                 1.8367,               0.002872,               0.002872,               0.002872
                     74,                 1.9933,                 1.5741,                 1.9225,                0.71576,                0.72593,                0.75904,                0.36034,                 1.8817,                 1.3405,                 1.8184,               0.002773,               0.002773,               0.002773
                     75,                 2.0458,                 1.6322,                 1.9455,                0.69389,                0.76196,                0.77662,                0.36885,                 1.8662,                 1.2904,                 1.8526,               0.002674,               0.002674,               0.002674
                     76,                 1.9922,                 1.6123,                 1.9439,                0.71057,                0.73376,                0.76462,                0.33657,                 1.9625,                 1.3355,                 1.8505,               0.002575,               0.002575,               0.002575
                     77,                 2.0063,                  1.567,                 1.9541,                0.73418,                0.75413,                0.80288,                0.37774,                 1.8419,                 1.2588,                 1.8251,               0.002476,               0.002476,               0.002476
                     78,                  1.948,                 1.5569,                 1.9117,                0.69519,                0.70119,                0.75939,                0.34378,                 1.9152,                 1.3682,                 1.8465,               0.002377,               0.002377,               0.002377
                     79,                 1.9658,                 1.5571,                 1.9169,                0.72315,                0.73612,                0.77882,                0.36823,                 1.8691,                 1.2832,                 1.8087,               0.002278,               0.002278,               0.002278
                     80,                 1.9605,                 1.5491,                 1.8931,                0.68593,                0.75502,                0.76217,                0.36513,                 1.7907,                  1.313,                 1.7735,               0.002179,               0.002179,               0.002179
                     81,                 1.9342,                 1.5188,                 1.8679,                0.70603,                0.74494,                0.77814,                 0.3478,                  1.899,                 1.2604,                 1.7848,                0.00208,                0.00208,                0.00208
                     82,                 1.9331,                 1.5114,                 1.8705,                0.66402,                0.78231,                0.80306,                0.38868,                 1.8348,                 1.2756,                 1.8063,               0.001981,               0.001981,               0.001981
                     83,                 1.9578,                 1.5395,                 1.8932,                0.70015,                0.75376,                0.80246,                0.40131,                 1.7536,                 1.3183,                 1.7568,               0.001882,               0.001882,               0.001882
                     84,                 1.9332,                 1.5137,                 1.8727,                0.72718,                0.75532,                 0.8031,                0.39185,                 1.7661,                 1.2635,                  1.758,               0.001783,               0.001783,               0.001783
                     85,                 1.9239,                 1.5148,                 1.8718,                0.72608,                0.77871,                0.80884,                0.38481,                 1.7977,                 1.2522,                 1.8027,               0.001684,               0.001684,               0.001684
                     86,                 1.8904,                 1.5009,                 1.8681,                0.77869,                0.78189,                0.82752,                 0.4025,                 1.7752,                 1.2278,                  1.784,               0.001585,               0.001585,               0.001585
                     87,                 1.9212,                 1.4965,                 1.8751,                0.74355,                0.76745,                0.80339,                  0.378,                  1.784,                 1.2905,                 1.7849,               0.001486,               0.001486,               0.001486
                     88,                 1.8902,                 1.4303,                 1.8171,                0.75835,                0.74441,                0.82056,                0.39948,                 1.7286,                 1.2507,                 1.7451,               0.001387,               0.001387,               0.001387
                     89,                 1.8829,                 1.4236,                 1.8232,                0.72939,                0.79794,                0.82288,                 0.4035,                 1.7369,                 1.2038,                 1.7449,               0.001288,               0.001288,               0.001288
                     90,                 1.9219,                 1.5155,                 1.8851,                0.73849,                0.80023,                0.82385,                0.40064,                 1.7453,                  1.257,                 1.7436,               0.001189,               0.001189,               0.001189
                     91,                 1.9028,                 1.4902,                 1.8832,                 0.7155,                0.79848,                0.80943,                0.40318,                 1.7205,                 1.2342,                 1.7305,                0.00109,                0.00109,                0.00109
                     92,                 1.8956,                 1.4715,                 1.8278,                0.73642,                0.76433,                0.79862,                0.37535,                 1.8041,                 1.2778,                 1.7634,               0.000991,               0.000991,               0.000991
                     93,                 1.8616,                 1.4495,                 1.8442,                 0.7549,                 0.8163,                0.82675,                0.40771,                 1.7115,                 1.1902,                 1.7101,               0.000892,               0.000892,               0.000892
                     94,                 1.9043,                 1.4488,                 1.8209,                0.74793,                0.81673,                0.82932,                0.42285,                 1.6768,                  1.175,                 1.7107,               0.000793,               0.000793,               0.000793
                     95,                 1.8803,                 1.4637,                 1.8377,                0.73558,                0.81854,                0.83024,                  0.428,                 1.6755,                 1.1732,                 1.6947,               0.000694,               0.000694,               0.000694
                     96,                 1.8831,                 1.4657,                 1.8592,                0.77531,                0.78221,                0.83839,                0.41899,                 1.7343,                 1.1755,                  1.709,               0.000595,               0.000595,               0.000595
                     97,                 1.8836,                 1.4421,                 1.8396,                0.77968,                0.80519,                0.84392,                0.43112,                 1.6696,                 1.1705,                 1.7033,               0.000496,               0.000496,               0.000496
                     98,                 1.8581,                 1.4282,                 1.7647,                0.77826,                0.79346,                0.83761,                 0.4171,                 1.7369,                 1.1907,                 1.7418,               0.000397,               0.000397,               0.000397
                     99,                  1.873,                 1.4879,                 1.8252,                0.76739,                0.80506,                0.83743,                0.41337,                 1.7462,                 1.1896,                 1.7472,               0.000298,               0.000298,               0.000298
